ACK_ID,FORM_PLAN_YEAR_BEGIN_DATE,FORM_TAX_PRD,TYPE_PLAN_ENTITY_CD,TYPE_DFE_PLAN_ENTITY_CD,INITIAL_FILING_IND,AMENDED_IND,FINAL_FILING_IND,SHORT_PLAN_YR_IND,COLLECTIVE_BARGAIN_IND,F5558_APPLICATION_FILED_IND,EXT_AUTOMATIC_IND,DFVC_PROGRAM_IND,EXT_SPECIAL_IND,EXT_SPECIAL_TEXT,PLAN_NAME,SPONS_DFE_PN,PLAN_EFF_DATE,SPONSOR_DFE_NAME,SPONS_DFE_DBA_NAME,SPONS_DFE_CARE_OF_NAME,SPONS_DFE_MAIL_US_ADDRESS1,SPONS_DFE_MAIL_US_ADDRESS2,SPONS_DFE_MAIL_US_CITY,SPONS_DFE_MAIL_US_STATE,SPONS_DFE_MAIL_US_ZIP,SPONS_DFE_MAIL_FOREIGN_ADDR1,SPONS_DFE_MAIL_FOREIGN_ADDR2,SPONS_DFE_MAIL_FOREIGN_CITY,SPONS_DFE_MAIL_FORGN_PROV_ST,SPONS_DFE_MAIL_FOREIGN_CNTRY,SPONS_DFE_MAIL_FORGN_POSTAL_CD,SPONS_DFE_LOC_US_ADDRESS1,SPONS_DFE_LOC_US_ADDRESS2,SPONS_DFE_LOC_US_CITY,SPONS_DFE_LOC_US_STATE,SPONS_DFE_LOC_US_ZIP,SPONS_DFE_LOC_FOREIGN_ADDRESS1,SPONS_DFE_LOC_FOREIGN_ADDRESS2,SPONS_DFE_LOC_FOREIGN_CITY,SPONS_DFE_LOC_FORGN_PROV_ST,SPONS_DFE_LOC_FOREIGN_CNTRY,SPONS_DFE_LOC_FORGN_POSTAL_CD,SPONS_DFE_EIN,SPONS_DFE_PHONE_NUM,BUSINESS_CODE,ADMIN_NAME,ADMIN_CARE_OF_NAME,ADMIN_US_ADDRESS1,ADMIN_US_ADDRESS2,ADMIN_US_CITY,ADMIN_US_STATE,ADMIN_US_ZIP,ADMIN_FOREIGN_ADDRESS1,ADMIN_FOREIGN_ADDRESS2,ADMIN_FOREIGN_CITY,ADMIN_FOREIGN_PROV_STATE,ADMIN_FOREIGN_CNTRY,ADMIN_FOREIGN_POSTAL_CD,ADMIN_EIN,ADMIN_PHONE_NUM,LAST_RPT_SPONS_NAME,LAST_RPT_SPONS_EIN,LAST_RPT_PLAN_NUM,ADMIN_SIGNED_DATE,ADMIN_SIGNED_NAME,SPONS_SIGNED_DATE,SPONS_SIGNED_NAME,DFE_SIGNED_DATE,DFE_SIGNED_NAME,TOT_PARTCP_BOY_CNT,TOT_ACTIVE_PARTCP_CNT,RTD_SEP_PARTCP_RCVG_CNT,RTD_SEP_PARTCP_FUT_CNT,SUBTL_ACT_RTD_SEP_CNT,BENEF_RCVG_BNFT_CNT,TOT_ACT_RTD_SEP_BENEF_CNT,PARTCP_ACCOUNT_BAL_CNT,SEP_PARTCP_PARTL_VSTD_CNT,CONTRIB_EMPLRS_CNT,TYPE_PENSION_BNFT_CODE,TYPE_WELFARE_BNFT_CODE,FUNDING_INSURANCE_IND,FUNDING_SEC412_IND,FUNDING_TRUST_IND,FUNDING_GEN_ASSET_IND,BENEFIT_INSURANCE_IND,BENEFIT_SEC412_IND,BENEFIT_TRUST_IND,BENEFIT_GEN_ASSET_IND,SCH_R_ATTACHED_IND,SCH_MB_ATTACHED_IND,SCH_SB_ATTACHED_IND,SCH_H_ATTACHED_IND,SCH_I_ATTACHED_IND,SCH_A_ATTACHED_IND,NUM_SCH_A_ATTACHED_CNT,SCH_C_ATTACHED_IND,SCH_D_ATTACHED_IND,SCH_G_ATTACHED_IND,FILING_STATUS,DATE_RECEIVED,VALID_ADMIN_SIGNATURE,VALID_DFE_SIGNATURE,VALID_SPONSOR_SIGNATURE,ADMIN_PHONE_NUM_FOREIGN,SPONS_DFE_PHONE_NUM_FOREIGN,ADMIN_NAME_SAME_SPON_IND,ADMIN_ADDRESS_SAME_SPON_IND,PREPARER_NAME,PREPARER_FIRM_NAME,PREPARER_US_ADDRESS1,PREPARER_US_ADDRESS2,PREPARER_US_CITY,PREPARER_US_STATE,PREPARER_US_ZIP,PREPARER_FOREIGN_ADDRESS1,PREPARER_FOREIGN_ADDRESS2,PREPARER_FOREIGN_CITY,PREPARER_FOREIGN_PROV_STATE,PREPARER_FOREIGN_CNTRY,PREPARER_FOREIGN_POSTAL_CD,PREPARER_PHONE_NUM,PREPARER_PHONE_NUM_FOREIGN,TOT_ACT_PARTCP_BOY_CNT,SUBJ_M1_FILING_REQ_IND,COMPLIANCE_M1_FILING_REQ_IND,M1_RECEIPT_CONFIRMATION_CODE,ADMIN_MANUAL_SIGNED_DATE,ADMIN_MANUAL_SIGNED_NAME,LAST_RPT_PLAN_NAME,SPONS_MANUAL_SIGNED_DATE,SPONS_MANUAL_SIGNED_NAME,DFE_MANUAL_SIGNED_DATE,DFE_MANUAL_SIGNED_NAME
20180305095839P040132226161001,2017-07-01,2017-10-30,2,,0,0,1,1,0,0,0,0,0,,THE ELLWOOD CITY HOSPITAL EMPLOYEE HEALTH PLAN,506,1988-07-01,ELLWOOD CITY HOSPITAL,,,724 PERSHING DRIVE,,ELLWOOD CITY,PA,161171474,,,,,,,,,,,,,,,,,,250461835,7247526830,622000,,,,,,,,,,,,,,,,,,,2018-03-05T09:58:07-0600,E. WILLIAM MATTHEWS,,,,,191,0,0,,0,,,,,,,4A,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,FILING_RECEIVED,2018-03-05,Filed with authorized/valid electronic signature,,,,,1,,,,,,,,,,,,,,,,,190,2,,,,,,,,,
20180105161544P030008478583001,2017-01-01,2017-12-31,2,,0,0,0,0,0,0,0,0,0,,"INNOVATION DATA PROCESSING, INC. PROFIT SHARING AND 401(K) PLAN",2,1974-07-01,"INNOVATION DATA PROCESSING, INC.",,,275 PATERSON AVENUE - 3RD FLOOR,,LITTLE FALLS,NJ,74241658,,,,,,,,,,,,,,,,,,221968159,9738907300,541511,,,,,,,,,,,,,,,,,,,2018-01-05T16:12:20-0600,JOHN MAZZONE,,,,,49,49,0,3,52,1,53,50,0,,2E2F2G2J2T3H,,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,FILING_RECEIVED,2018-01-05,Filed with authorized/valid electronic signature,,,,,1,,,,,,,,,,,,,,,,,48,,,,,,,,,,
20180110131058P040018024583001,2016-04-01,2017-03-31,4,C,0,0,0,0,0,0,0,0,0,,EB DL SMALL CAP CORE FUND,26,1974-07-01,THE BANK OF NEW YORK MELLON,,,500 GRANT STREET,ROOM 4200,PITTSBURGH,PA,152580001,,,,,,,,,,,,,,,,,,256078093,4122347500,,,,,,,,,,,,,,,,,,,,2018-01-05T16:12:20-0600,,,,2018-01-10T13:07:25-0600,ANNE MCCABE,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,FILING_RECEIVED,2018-01-10,,Filed with authorized/valid electronic signature,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180409100951P030027327805001,2017-01-01,2017-12-31,2,,0,0,0,0,0,0,0,0,0,,NATIONAL CABLE COMMUNICATIONS FLEXIBLE BENEFIT PLAN,506,1999-01-01,"NATIONAL CABLE COMMUNICATIONS, LLC",,,"405 LEXINGTON AVENUE, 6TH FLOOR",,NEW YORK,NY,101740002,,,,,,,,,,,,,,,,,,43259154,9737801700,515100,,,,,,,,,,,,,,,,,,,2018-04-09T10:09:07-0500,JOHN CALVO,2018-04-09T10:09:07-0500,JOHN CALVO,,,171,175,0,0,175,,,,,,,4A,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,FILING_RECEIVED,2018-04-09,Filed with authorized/valid electronic signature,,Filed with authorized/valid electronic signature,,,1,,,,,,,,,,,,,,,,,171,2,,,,,,,,,
20180409131041P030039937895001,2017-01-01,2017-12-31,2,,0,0,0,0,0,0,0,0,0,,"FRALEY & SCHILLING, INC. GROUP DENTAL PLAN",502,2004-03-01,"FRALEY & SCHILLING, INC.",,,1920 SOUTH STATE ROAD 3,,RUSHVILLE,IN,46173,,,,,,,1920 SOUTH STATE ROAD 3,,RUSHVILLE,IN,46173,,,,,,,341036518,7659325977,484110,"FRALEY & SCHILLING, INC.",,1920 SOUTH STATE ROAD 3,,RUSHVILLE,IN,46173,,,,,,,341036518,7659325977,,,,2018-04-06T15:58:53-0500,ROBERT SCHILLING,,,,,429,449,,,449,,449,,,,,4D4E,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,FILING_RECEIVED,2018-04-09,Filed with authorized/valid electronic signature,,,,,,,,,,,,,,,,,,,,,,429,2,,,,,,,,,
20180414103013P040000123333001,2017-01-01,2017-12-31,2,,,,,,,,,,,,"ACE PAIN CLINIC, P.C. PROFIT SHARING PENSION PLAN",1,1989-12-21,"ACE PAIN CLINIC, P.C.",,,704 E 9 MILE RD,,HAZEL PARK,MI,48030,,,,,,,,,,,,,,,,,,382807078,2484333777,621111,"ACE PAIN CLINIC, P.C.",,704 EAST 9 MILE RD,,HAZEL PARK,MI,48030,,,,,,,382807078,2484333777,,,,2018-03-15T10:36:49-0500,CHRISTOPHER CHANG,,,,,1,1,0,0,1,0,1,1,0,,2E,,,,1,,,,1,,,,,,1,,,,,,FILING_RECEIVED,2018-04-14,Filed with authorized/valid electronic signature,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20180409164157P040002445253001,2017-01-01,2017-12-31,2,,0,0,0,0,0,0,0,0,0,,BURNS DENTAL CARE RETIREMENT PLAN & TRUST,2,2002-01-01,"DAVID R. BURNS, D.D.S., P.C.",,,"8600 NW 64TH STREET, SUITE 201",,PARKVILLE,MO,64152,,,,,,,,,,,,,,,,,,10552063,8167417477,621210,,,,,,,,,,,,,,,,,,,2018-03-15T10:36:49-0500,,,,,,10,8,0,1,9,0,9,9,0,,2A2E2J2K3D,,0,0,1,0,0,0,1,0,1,0,0,0,1,0,,0,1,0,FILING_RECEIVED,2018-04-09,,,,,,1,,,,,,,,,,,,,,,,,9,,,,2018-03-26T11:00:00-0500,"DAVID R. BURNS, D.D.S.",,,,,
20180414130526P030002736887001,2013-08-30,2014-06-30,2,,1,1,0,1,0,1,0,0,0,,GP HOLDINGS INC. 401(K) PLAN,1,2013-08-30,GP HOLDINGS INC.,"DOOR CLOSING SYSTEMS, LLC",,PO BOX 866,,CAREFREE,AZ,85377,,,,,,,,,,,,,,,,,,463557836,4803636761,332300,,,,,,,,,,,,,,,,,,,2018-04-14T13:04:35-0500,PHILIP WOUDENBERG,2018-04-14T13:04:35-0500,PHILIP WOUDENBERG,,,6,6,0,0,6,0,6,3,0,,2E2F2G2J2K2R3D3H,,0,0,1,0,0,0,1,0,0,0,0,0,1,0,,0,0,0,FILING_RECEIVED,2018-04-14,Filed with authorized/valid electronic signature,,Filed with authorized/valid electronic signature,,,1,,,,,,,,,,,,,,,,,6,,,,,,,,,,
20180131122058P030059160007001,2017-01-01,2017-12-31,1,,0,0,0,0,0,0,0,0,0,,"PIONEER CONTRACT SERVICES, INC.",713,2007-11-01,"PIONEER CONTRACT SERVICES, INC",,,8090 KEMPWOOD DR,,HOUSTON,TX,770551003,,,,,,,8090 KEMPWOOD DR,,HOUSTON,TX,770551003,,,,,,,741739093,7134648200,484110,,,,,,,,,,,,,,,,,,,2018-01-31T12:19:55-0600,VICKI MARTIN,,,,,96,111,,,111,,111,,,105,,4A4B,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,FILING_RECEIVED,2018-01-31,Filed with authorized/valid electronic signature,,,,,1,,,,,,,,,,,,,,,,,105,,,,,,,,,,
20180131162953P030039347517001,2017-01-01,2017-03-20,2,,0,0,1,1,0,0,0,0,1,HURRICANE IRMA RELIEF,"BENEFITGUARD RETIREMENT INCOME SECURITY PLAN-BRIDGEPOINT CONSULTING, LLC",3,2012-07-01,"BRIDGEPOINT CONSULTING, LLC",,,6300 BRIDGEPOINT PARKWAY,BLDG. 1 STE. 575,AUSTIN,TX,78730,,,,,,,,,,,,,,,,,,270052733,5124377900,541990,"BENEFITGUARD, LLC",,877 EAST 1200 SOUTH #1272,,OREM,UT,840971272,,,,,,,205354793,8778602664,,,,2018-01-31T16:29:50-0600,SPENCER BARCLAY,,,,,172,0,0,0,0,0,0,0,0,,2A2E2F2G2J2K2S2T3B,,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,FILING_RECEIVED,2018-01-31,Filed with authorized/valid electronic signature,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,
20180414202935P040003564471001,2017-01-01,2017-06-30,2,,0,0,1,1,0,1,0,0,0,,"BODINE SERVICES OF DECATUR, INC.-LTD",504,2006-01-01,"BODINE SERVICES OF DECATUR, INC.",,,5330 EAST FIREHOUSE ROAD,,DECATUR,IL,62521,,,,,,,,,,,,,,,,,,371020802,2174284381,562000,,,,,,,,,,,,,,,,,,,2018-04-14T20:29:16-0500,ZACH GRAY,,,,,169,0,0,0,0,,,,,,,4H,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,FILING_RECEIVED,2018-04-14,Filed with authorized/valid electronic signature,,,,,1,,,,,,,,,,,,,,,,,169,2,,,,,,,,,
20180302152952P030116500321001,2017-06-07,2017-12-31,2,,1,1,,1,,,,,,,LUCCI INVESTMENTS INC. RETIREMENT PLAN,1,2017-06-07,LUCCI INVESTMENTS INC.,,,19636 97TH AVE.,UNIT 6,MOKENA,IL,60448,,,,,,,,,,,,,,,,,,821792658,7084794328,238220,,,,,,,,,,,,,,,,,,,2018-03-02T15:28:00-0600,JASON LUCCI,,,,,2,2,0,0,2,0,2,2,0,,2E2G3D,,,,1,,,,1,,,,,,1,,,,,,FILING_RECEIVED,2018-03-02,Filed with authorized/valid electronic signature,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,
20180302123511P040005613653001,2017-01-01,2017-12-31,2,,0,0,0,0,0,0,0,0,0,,"LAND ADVISORS ORGANIZATION,LLC 401(K) PLAN AND TRUST",1,2003-01-01,"LAND ADVISORS ORGANIZATION, LLC",,,4900 N SCOTTSDALE RD,SUITE 3000,SCOTTSDALE,AZ,85251,,,,,,,,,,,,,,,,,,860974727,4804838100,531210,,,,,,,,,,,,,,,,,,,2018-03-15T10:36:49-0500,,,,,,31,28,0,0,28,0,28,26,0,,2A2E2J2K3D,,1,0,1,0,1,0,1,0,1,0,0,0,1,1,2,0,0,0,FILING_RECEIVED,2018-03-02,,,,,,1,,,,,,,,,,,,,,,,,28,,,,2018-02-26T06:00:00-0600,BRIAN ROSENER,,,,,
20180303090007P040081029821001,2017-01-01,2017-12-31,2,,1,,,,,,,,,,"TRI STATE DISTRIBUTION, INC. WELFARE BENEFITS PLAN",507,2016-08-01,TRI STATE DISTRIBUTION,,,600 VISTA DRIVE,,SPARTA,TN,38583,,,,,,,,,,,,,,,,,,621501548,9317382174,484110,,,,,,,,,,,,,,,,,,,2018-02-27T11:43:34-0600,JOSEPH MICELI,,,,,207,210,0,0,210,,,,,,,4D4E4Q,1,,,,1,,,,,,,,,1,3,,,,FILING_RECEIVED,2018-03-03,Filed with authorized/valid electronic signature,,,,,1,,,,,,,,,,,,,,,,,207,2,,,,,,,,,
